,dataset,model,features,precision,recall,f1,accuracy,params
0,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6738421395955643,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
1,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6719160104986877,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
2,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6749060478478279,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
3,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6728819103696433,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
4,NL 1,FRI,[1 1 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.6,0.7499999999999999,0.6738421395955643,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
5,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6719160104986877,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
6,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6719160104986877,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
7,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6718687474989995,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
8,NL 1,FRI,[1 1 2 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6738421395955643,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
9,NL 1,FRI,[1 1 1 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0],1.0,0.7,0.8235294117647058,0.6749060478478279,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
10,NL 1,FRI,[1 1 1 0 0 2 0 1 1 1 0 0 0 0 0 0 0 0 0 0],1.0,0.7,0.8235294117647058,0.6718936935567124,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
11,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6738695478191277,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
12,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6749060478478279,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
13,NL 1,FRI,[1 1 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.5,0.6666666666666666,0.6719160104986877,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
14,NL 1,FRI,[1 1 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.6,0.7499999999999999,0.6709048915136474,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
15,NL 1,FRI,[1 0 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.4,0.5714285714285715,0.6718687474989995,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
16,NL 1,FRI,[1 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0],1.0,0.3,0.4615384615384615,0.6719160104986877,"{'n_samples': 1000, 'linear': False, 'random_state': RandomState(MT19937) at 0x7F05A922BE20, 'n_features': 20, 'n_strel': 10, 'n_redundant': 0}"
